threads,run,integral,time_seconds,timestamp
7,4,5.500539,0.358358,2025-05-14T03:50:46.675115
7,5,5.500539,0.287158,2025-05-14T03:50:46.963350
7,1,5.500539,0.355667,2025-05-14T03:50:47.320313
7,2,5.500539,0.297941,2025-05-14T03:50:47.619767
7,3,5.500539,0.294614,2025-05-14T03:50:47.915967
7,4,5.500539,0.35271,2025-05-14T03:50:48.270178
7,5,5.500539,0.281083,2025-05-14T03:50:48.552594
8,1,5.500539,0.357167,2025-05-14T03:50:48.911138
8,2,5.500539,0.338572,2025-05-14T03:50:49.251334
8,3,5.500539,0.300393,2025-05-14T03:50:49.553178
8,4,5.500539,0.310184,2025-05-14T03:50:49.864850
8,5,5.500539,0.290405,2025-05-14T03:50:50.156680
9,1,5.500539,0.373791,2025-05-14T03:50:50.531775
9,2,5.500539,0.299667,2025-05-14T03:50:50.832836
9,3,5.500539,0.397203,2025-05-14T03:50:51.231670
9,4,5.500539,0.391951,2025-05-14T03:50:51.625207
9,5,5.500539,0.383995,2025-05-14T03:50:52.010387
10,1,5.500539,0.411062,2025-05-14T03:50:52.423029
10,2,5.500539,0.397559,2025-05-14T03:50:52.821789
10,3,5.500539,0.411562,2025-05-14T03:50:53.234678
10,4,5.500539,0.424878,2025-05-14T03:50:53.661217
10,5,5.500539,0.401699,2025-05-14T03:50:54.064487
11,1,5.500539,0.508438,2025-05-14T03:50:54.574373
11,2,5.500539,0.504026,2025-05-14T03:50:55.079816
11,3,5.500539,0.525027,2025-05-14T03:50:55.606251
11,4,5.500539,0.521541,2025-05-14T03:50:56.129262
11,5,5.500539,0.521825,2025-05-14T03:50:56.652370
12,1,5.500539,0.39271,2025-05-14T03:50:57.046285
12,2,5.500539,0.399768,2025-05-14T03:50:57.447583
12,3,5.500539,0.400298,2025-05-14T03:50:57.849306
12,4,5.500539,0.291783,2025-05-14T03:50:58.142556
12,5,5.500539,0.288571,2025-05-14T03:50:58.432496
14,1,5.500539,0.320633,2025-05-14T03:50:58.754226
14,2,5.500539,0.314145,2025-05-14T03:50:59.069854
14,3,5.500539,0.312907,2025-05-14T03:50:59.384094
14,4,5.500539,0.31622,2025-05-14T03:50:59.701724
14,5,5.500539,0.305113,2025-05-14T03:51:00.008176
15,1,5.500539,0.332252,2025-05-14T03:51:00.341654
15,2,5.500539,0.38258,2025-05-14T03:51:00.725609
15,3,5.500539,0.339172,2025-05-14T03:51:01.066125
15,4,5.500539,0.344719,2025-05-14T03:51:01.412066
15,5,5.500539,0.339095,2025-05-14T03:51:01.752303
17,1,5.500539,0.361656,2025-05-14T03:51:02.115315
17,2,5.500539,0.352385,2025-05-14T03:51:02.469252
17,3,5.500539,0.368367,2025-05-14T03:51:02.839165
17,4,5.500539,0.368506,2025-05-14T03:51:03.209186
17,5,5.500539,0.339738,2025-05-14T03:51:03.550378
18,1,5.500539,0.32217,2025-05-14T03:51:03.873964
18,2,5.500539,0.350528,2025-05-14T03:51:04.225795
18,3,5.500539,0.394018,2025-05-14T03:51:04.621252
18,4,5.500539,0.348061,2025-05-14T03:51:04.970665
18,5,5.500539,0.32331,2025-05-14T03:51:05.295208
20,1,5.500539,0.428791,2025-05-14T03:51:05.725362
20,2,5.500539,0.352244,2025-05-14T03:51:06.079112
20,3,5.500539,0.412977,2025-05-14T03:51:06.493428
20,4,5.500539,0.428319,2025-05-14T03:51:06.923164
20,5,5.500539,0.431724,2025-05-14T03:51:07.356389
23,1,5.500539,0.335638,2025-05-14T03:51:07.693300
23,2,5.500539,0.353017,2025-05-14T03:51:08.048071
23,3,5.500539,0.36746,2025-05-14T03:51:08.417040
23,4,5.500539,0.353488,2025-05-14T03:51:08.772142
23,5,5.500539,0.350799,2025-05-14T03:51:09.124412
